00:00:14:083 2 threads, buffer=256:
00:00:13:947 2 threads, buffer=512:
00:00:13:627 2 threads, buffer=1024:
00:00:13:536 2 threads, buffer=2048:
00:00:13:645 2 threads, buffer=4096:
00:00:13:203 2 threads, buffer=8192:
00:00:13:438 2 threads, buffer=16384:
00:00:13:676 2 threads, buffer=32768:
00:00:14:081 2 threads, buffer=65536:
00:00:16:371 2 threads, buffer=131072:
00:00:11:371 3 threads, buffer=256:
00:00:11:230 3 threads, buffer=512:
00:00:11:076 3 threads, buffer=1024:
00:00:10:932 3 threads, buffer=2048:
00:00:10:607 3 threads, buffer=4096:
00:00:10:561 3 threads, buffer=8192:
00:00:10:609 3 threads, buffer=16384:
00:00:10:696 3 threads, buffer=32768:
00:00:11:427 3 threads, buffer=65536:
00:00:12:981 3 threads, buffer=131072:
00:00:11:179 4 threads, buffer=256:
00:00:10:564 4 threads, buffer=512:
00:00:10:619 4 threads, buffer=1024:
00:00:10:560 4 threads, buffer=2048:
00:00:10:724 4 threads, buffer=4096:
00:00:10:530 4 threads, buffer=8192:
00:00:10:729 4 threads, buffer=16384:
00:00:10:836 4 threads, buffer=32768:
00:00:11:785 4 threads, buffer=65536:
00:00:12:296 4 threads, buffer=131072:
00:00:11:099 5 threads, buffer=256:
00:00:11:135 5 threads, buffer=512:
00:00:10:813 5 threads, buffer=1024:
00:00:10:628 5 threads, buffer=2048:
00:00:10:985 5 threads, buffer=4096:
00:00:10:694 5 threads, buffer=8192:
00:00:10:662 5 threads, buffer=16384:
00:00:10:831 5 threads, buffer=32768:
00:00:11:788 5 threads, buffer=65536:
00:00:12:727 5 threads, buffer=131072:
00:00:11:512 6 threads, buffer=256:
00:00:11:360 6 threads, buffer=512:
00:00:10:773 6 threads, buffer=1024:
00:00:10:649 6 threads, buffer=2048:
00:00:10:604 6 threads, buffer=4096:
00:00:10:937 6 threads, buffer=8192:
00:00:10:734 6 threads, buffer=16384:
00:00:11:033 6 threads, buffer=32768:
00:00:11:926 6 threads, buffer=65536:
00:00:12:693 6 threads, buffer=131072:
00:00:11:411 7 threads, buffer=256:
00:00:11:252 7 threads, buffer=512:
00:00:10:643 7 threads, buffer=1024:
00:00:10:883 7 threads, buffer=2048:
00:00:10:801 7 threads, buffer=4096:
00:00:10:814 7 threads, buffer=8192:
00:00:10:888 7 threads, buffer=16384:
00:00:11:080 7 threads, buffer=32768:
00:00:11:673 7 threads, buffer=65536:
00:00:12:917 7 threads, buffer=131072:
00:00:11:053 8 threads, buffer=256:
00:00:11:369 8 threads, buffer=512:
00:00:10:600 8 threads, buffer=1024:
00:00:10:623 8 threads, buffer=2048:
00:00:11:103 8 threads, buffer=4096:
00:00:11:153 8 threads, buffer=8192:
00:00:11:245 8 threads, buffer=16384:
00:00:11:689 8 threads, buffer=32768:
00:00:11:747 8 threads, buffer=65536:
00:00:12:580 8 threads, buffer=131072:
